,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,0,False,0.6412112895048845,1.0,-0.3627332545562295,-0.0514276066434529,0.05,0.025,0,1-2
1,1,False,0.9999972102034852,1.0,-4.802079176044126,-0.6808293307390472,0.05,0.025,1,2-3
0,0,False,0.9995836160312268,1.0,-3.447257838113418,-0.4887454289625245,0.05,0.025,0,1-2
1,1,False,0.983139067808303,1.0,-2.1533233260942373,-0.305293941483327,0.05,0.025,1,2-3
0,0,False,0.3740433667405993,0.7480867334811987,0.3220594453131495,0.0456609540518591,0.05,0.025,0,1-2
1,1,False,0.4829428895651148,0.7480867334811987,0.0428772060845276,0.0060790458574939,0.05,0.025,1,2-3
0,0,False,0.990753064296904,1.0,-2.3951563398537346,-0.3395805500277781,0.05,0.025,0,1-2
1,1,False,0.9981383736737822,1.0,-2.971203662999306,-0.4212514053205679,0.05,0.025,1,2-3
0,0,False,0.2842560729241862,0.5685121458483724,0.5721576559131163,0.0811193859309598,0.05,0.025,0,1-2
1,1,False,0.9997996600456228,0.9997996600456228,-3.664370261504261,-0.5195272008770162,0.05,0.025,1,2-3
0,0,False,0.9999972440039534,1.0,-4.805089275727882,-0.681256096745608,0.05,0.025,0,1-2
1,1,False,0.9999794161823046,1.0,-4.29290356959409,-0.6086394157752542,0.05,0.025,1,2-3
0,0,False,0.9984372041915756,1.0,-3.029412011828725,-0.42950407041086,0.05,0.025,0,1-2
1,1,False,0.9999987846464272,1.0,-5.004986008379796,-0.7095970619232039,0.05,0.025,1,2-3
0,0,False,0.9999999888548304,1.0,-6.083017802037236,-0.8624382870851409,0.05,0.025,0,1-2
1,1,False,0.8782270288157304,1.0,-1.1731615109226732,-0.1663285291743706,0.05,0.025,1,2-3
0,0,False,0.9988726580326676,1.0,-3.136075159006121,-0.4446265614080056,0.05,0.025,0,1-2
1,1,False,0.9847699968163828,1.0,-2.1955498347623585,-0.3112807327422847,0.05,0.025,1,2-3
0,0,False,0.9881090549254492,1.0,-2.2960406604233854,-0.3255281241475575,0.05,0.025,0,1-2
1,1,False,0.998488777940682,1.0,-3.040488314145367,-0.4310744467451201,0.05,0.025,1,2-3
0,0,False,0.999999982321863,0.999999982321863,-5.981048589483759,-0.8479812928970606,0.05,0.025,0,1-2
1,1,False,0.4589615556441452,0.9179231112882904,0.1033135569294834,0.0146475926868233,0.05,0.025,1,2-3
0,0,False,0.9988825821660368,1.0,-3.1389283216276587,-0.4450310771868793,0.05,0.025,0,1-2
1,1,False,0.9797744860110316,1.0,-2.076363297149584,-0.2943827001065845,0.05,0.025,1,2-3
0,0,False,0.9999995686041578,0.9999995686041578,-5.25199004475935,-0.7446168078734714,0.05,0.025,0,1-2
1,1,False,0.2288925600098341,0.4577851200196683,0.7454181172738694,0.105683913009198,0.05,0.025,1,2-3
0,0,False,0.9999471467795316,1.0,-4.039884475869029,-0.5727668668376207,0.05,0.025,0,1-2
1,1,False,0.8007682022953173,1.0,-0.8480360340372008,-0.1202328792029142,0.05,0.025,1,2-3
0,0,False,0.9990185906238588,1.0,-3.180607168575874,-0.4509402220454829,0.05,0.025,0,1-2
